Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritzer,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.15,52000,Petrol,Dealer,Manual,0
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Automatic,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0
alto k10,2014,2.5,3.71,56000,Petrol,Dealer,Manual,0
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0
swift,2011,3.0,4.99,20000,CNG,Dealer,Manual,0
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0
swift,2013,3.75,6.49,61200,Petrol,Dealer,Manual,0
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0
ciaz,2015,7.4,10.38,34000,Diesel,Dealer,Manual,0
rtz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0
rtz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0
ertiga,2014,6.0,9.98,45000,Diesel,Dealer,Manual,0
dzire,2014,5.5,8.06,60000,Diesel,Dealer,Manual,0
ertiga,2011,2.95,7.74,49998,CNG,Dealer,Manual,0
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0
sx4,2011,2.25,7.98,127000,Petrol,Dealer,Manual,0
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0
sx4,2013,2.25,7.98,62000,Petrol,Dealer,Manual,0
baleno,2016,5.85,6.87,24524,Petrol,Dealer,Manual,0
alto k10,2014,2.55,3.98,20114,Petrol,Dealer,Manual,0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
dzire,2014,4.95,8.06,45780,Diesel,Dealer,Manual,0
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0
ciaz,2014,7.5,9.81,15000,Petrol,Dealer,Automatic,0
ritzer,2013,2.65,4.89,64000,Petrol,Dealer,Manual,0
wagon r,2006,1.05,4.15,81000,Petrol,Dealer,Manual,0
ertiga,2012,5.8,7.74,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.25,37000,Petrol,Dealer,Automatic,0
fortuner,2012,14.9,35.96,78000,Diesel,Dealer,Automatic,0
innova,2015,15.0,17.19,40000,Diesel,Dealer,Manual,0
innova,2017,18.0,19.77,15000,Diesel,Dealer,Manual,0
fortuner,2013,16.0,30.61,135000,Diesel,Dealer,Automatic,0
innova,2014,12.5,13.6,76000,Diesel,Dealer,Manual,0
corolla altis,2009,3.6,14.59,80000,Petrol,Dealer,Automatic,0
etios cross,2015,4.5,8.12,31000,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,13.6,109000,Petrol,Dealer,Automatic,0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,0
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0
city,2016,8.5,13.6,25000,Petrol,Dealer,Manual,0
city,2015,7.9,13.6,40000,Petrol,Dealer,Manual,0
amaze,2014,3.25,6.79,52000,Petrol,Dealer,Manual,0
brio,2015,4.5,6.8,36000,Petrol,Dealer,Automatic,0
city,2017,12.9,13.6,4100,Petrol,Dealer,Automatic,0
amaze,2014,3.95,6.79,48000,Petrol,Dealer,Manual,0
city,2017,11.75,13.6,11000,Petrol,Dealer,Manual,0
jazz,2016,6.4,8.4,24000,Petrol,Dealer,Manual,0
amaze,2014,3.25,6.79,52000,Petrol,Dealer,Manual,0
city,2015,7.9,13.6,40000,Petrol,Dealer,Manual,0
